 
;;;DOCUMENTI FISCALI DAL 00/00/0000 AL 99/99/9999
 
Num.;Documento;Data;Cliente;Importo;IVA;Totale
 
         1;CORRISP   ;15/06/2012;EVENTI ANDREA                                     ;        200,00;         42,00;        242,00
         2;CORRISP   ;15/06/2012;EVENTI ANDREA                                     ;        104,50;         21,95;        126,45
         3;CORRISP   ;15/06/2012;EVENTI ANDREA                                     ;     99.000,00;     20.790,00;    119.790,00
         6;CORRISP   ;15/06/2012;EVENTI ANDREA                                     ;          9,50;          2,00;         11,50
         1;FATTURA   ;15/06/2012;EVENTI ANDREA                                     ;        120,00;         25,20;        145,20
         2;FATTURA   ;15/06/2012;EVENTI ANDREA                                     ;        110,00;         23,10;        133,10
         3;FATTURA   ;15/06/2012;RESET                                             ;        190,00;         39,90;        229,90
         6;FATTURA   ;15/06/2012;RESET                                             ;     10.000,00;          0,00;     10.000,00
         7;FATTURA   ;15/06/2012;EVENTI ANDREA                                     ;     50.000,00;     10.500,00;     60.500,00
         8;FATTURA   ;15/06/2012;EVENTI ANDREA                                     ;        105,45;         22,14;        127,59
         9;FATTURA   ;15/06/2012;EVENTI ANDREA                                     ;        105,45;         22,14;        127,59
        10;FATTURA   ;15/06/2012;EVENTI ANDREA                                     ;         95,00;         19,95;        114,95
        11;FATTURA   ;15/06/2012;RESET                                             ;          9,50;          0,00;          9,50
         1;NOTA CR   ;15/06/2012;EVENTI ANDREA                                     ;       -304,00;        -63,84;       -367,84
         2;NOTA CR   ;15/06/2012;EVENTI ANDREA                                     ;    -50.000,00;    -10.500,00;    -60.500,00
         3;NOTA CR   ;15/06/2012;EVENTI ANDREA                                     ;       -304,00;        -63,84;       -367,84
         6;NOTA CR   ;15/06/2012;EVENTI ANDREA                                     ;       -304,00;        -63,84;       -367,84
         7;NOTA CR   ;15/06/2012;EVENTI ANDREA                                     ;       -300,00;        -63,00;       -363,00
         8;NOTA CR   ;15/06/2012;EVENTI ANDREA                                     ;         -8,00;         -1,68;         -9,68
         9;NOTA CR   ;15/06/2012;EVENTI ANDREA                                     ;         -8,50;         -1,79;        -10,29
;;;TOTALE AL 15/06/2012;    108.820,90;     20.750,39;    129.571,29
 
;;;TOTALE DOCUMENTI;    169.556,30;     31.402,82;    200.959,12
